pos,resource,type,match,cost,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
159.1,583,Q,81.323817,19.676182999999995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160.1,1140,Q,72.150544,28.849456000000004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161.1,1,Q,69.500225,31.499775,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162.1,1237,Q,72.262621,28.737379000000004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163.1,872,Q,73.871884,27.128116000000006, , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1
163.2,1306,Q,70.352475,30.647525, , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1
163.3,327,Q,68.840226,32.159774, , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1
164.1,1301,Q,79.427494,21.572506000000004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165.1,1153,Q,85.525357,15.474643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165.2,184,Q,81.518371,19.481628999999998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166.1,362,Q,70.686386,30.313614,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167.1,Gap,G,0,7434.411088000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168.1,603,Q,70.584063,30.415937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169.1,1192,Q,85.819436,15.180564000000004, , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1
170.1,1018,Q,82.311657,18.688343000000003, , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1
171.1,777,Q,76.928201,24.071799,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172.1,1004,Q,79.825484,21.174515999999997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173.1,320,Q,70.020987,30.979012999999995, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
