periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
185.1,185,1,26,352,Q,1,1,0,26,0,29.412645999999995,0.0,29.412645999999995,71.587354
186.1,186,26,1,183,T,1,26,2,1,0,70.75141400000001,0.0,70.75141400000001,63.051263
187.1,187,24,3,76,Q,1,24,0,3,0,29.515348000000003,0.0,29.515348000000003,71.484652
188.1,188,1,26,492,Q,1,1,0,26,0,18.599832000000006,0.0,18.599832000000006,82.400168
189.1,189,1,26,497,T,6,12,6,15,11,71.02652399999988,3125.167056,3196.1935799999997,64.873163
190.1,190,10,17,99,Q,1,10,0,17,0,32.278516999999994,0.0,32.278516999999994,68.721483
191.1,191,1,26,606,Q,1,1,0,26,0,28.369668000000004,0.0,28.369668000000004,72.630332
192.1,192,1,26,Hire,H,0,5,4,22,4,142.97573199999988,1143.805856,1286.7815879999998,0
192.2,192,1,26,Hire,H,0,5,4,22,4,142.97573199999988,1143.805856,1286.7815879999998,0
194.1,194,1,26,720,Q,8,8,0,19,7,35.75603000000001,2002.3376799999996,2038.0937099999996,65.24397
194.2,194,1,26,1072,Q,10,10,0,17,9,34.723049000000174,2574.43416,2609.157209,66.276951
195.1,195,1,26,878,Q,1,1,0,26,0,26.848011,0.0,26.848011,74.151989
196.1,196,20,7,287,Q,1,20,0,7,0,21.256429999999995,0.0,21.256429999999995,79.74357
197.1,197,1,26,931,Q,1,1,0,26,0,30.303352000000004,0.0,30.303352000000004,70.696648
198.1,198,14,13,809,Q,1,14,0,13,0,19.668993999999998,0.0,19.668993999999998,81.331006
199.1,199,1,26,991,Q,1,1,0,26,0,16.438205999999994,0.0,16.438205999999994,84.561794
200.1,200,1,26,536,T,18,20,2,7,19,71.44476200000008,5429.801912,5501.246674,63.27255
201.1,201,1,26,Gap,G,0,0,0,0,26,0.0,7427.099472000002,7427.099472000002,0
202.1,202,1,26,238,Q,1,1,0,26,0,26.709514999999996,0.0,26.709514999999996,74.290485
203.1,203,1,26,153,Q,1,1,0,26,0,9.108052,0.0,9.108052,91.891948
204.1,204,1,26,146,Q,1,1,0,26,0,21.495474,0.0,21.495474,79.504526
205.1,205,1,26,1089,Q,1,1,0,26,0,27.173657000000006,0.0,27.173657000000006,73.826343
206.1,206,1,26,534,Q,1,1,0,26,0,30.825025999999994,0.0,30.825025999999994,70.174974
207.1,207,1,26,Hire,H,0,6,5,21,5,138.59636,1385.9636,1524.55996,0
207.2,207,1,26,Hire,H,0,6,5,21,5,138.59636,1385.9636,1524.55996,0
208.1,208,1,26,987,Q,1,1,0,26,0,32.245401,0.0,32.245401,68.754599
208.2,208,1,26,1044,Q,1,1,0,26,0,35.120000000000005,0.0,35.120000000000005,65.88
208.3,208,1,26,278,Q,1,1,0,26,0,35.558718,0.0,35.558718,65.441282
209.1,209,1,26,1008,T,2,6,4,21,5,70.66509599999995,1413.30192,1483.967016,63.569638
210.1,210,13,14,1281,Q,1,13,0,14,0,32.362999,0.0,32.362999,68.637001
211.1,211,22,5,898,Q,1,22,0,5,0,19.440051999999994,0.0,19.440051999999994,81.559948
211.2,211,22,5,447,Q,1,22,0,5,0,22.294563999999994,0.0,22.294563999999994,78.705436
211.3,211,22,5,1242,Q,1,22,0,5,0,24.849508999999998,0.0,24.849508999999998,76.150491
212.1,212,1,26,948,Q,1,1,0,26,0,31.622952999999995,0.0,31.622952999999995,69.377047
213.1,213,2,25,955,Q,1,2,0,25,0,34.551333,0.0,34.551333,66.448667
214.1,214,1,26,708,Q,1,1,0,26,0,30.846541000000002,0.0,30.846541000000002,70.153459
215.1,215,1,26,90,Q,1,1,0,26,0,21.430510999999996,0.0,21.430510999999996,79.569489
216.1,216,1,26,165,Q,1,1,0,26,0,8.971637000000001,0.0,8.971637000000001,92.028363
217.1,217,16,11,891,Q,1,16,0,11,0,26.764746000000002,0.0,26.764746000000002,74.235254
218.1,218,1,26,32,Q,1,1,0,26,0,19.606902000000005,0.0,19.606902000000005,81.393098
219.1,219,1,26,786,Q,1,1,0,26,0,32.186685,0.0,32.186685,68.813315
220.1,220,1,26,771,Q,1,1,0,26,0,19.598149000000006,0.0,19.598149000000006,81.401851
221.1,221,21,6,1282,Q,7,21,0,6,0,32.526810999999995,0.0,32.526810999999995,68.473189
222.1,222,1,26,Gap,G,0,0,0,0,26,0.0,7427.811872,7427.811872,0
223.1,223,1,26,1223,Q,1,1,0,26,0,23.133801000000005,0.0,23.133801000000005,77.866199
224.1,224,1,26,823,Q,1,1,0,26,0,34.25457299999999,0.0,34.25457299999999,66.745427
226.1,226,1,26,Gap,G,0,0,0,0,26,0.0,7414.654207999999,7414.654207999999,0
227.1,227,1,26,585,Q,1,1,0,26,0,27.281256,0.0,27.281256,73.718744
228.1,228,1,26,1172,Q,1,1,0,26,0,29.300489,0.0,29.300489,71.699511
229.1,229,1,26,370,Q,1,1,0,26,0,21.689847,0.0,21.689847,79.310153
229.2,229,1,26,1150,Q,1,1,0,26,0,23.875968999999998,0.0,23.875968999999998,77.124031
230.1,230,24,3,273,Q,16,24,0,3,0,34.070547000000005,0.0,34.070547000000005,66.929453
231.1,231,1,26,801,Q,1,1,0,26,0,26.982166000000007,0.0,26.982166000000007,74.017834
232.1,232,1,26,1273,Q,1,1,0,26,0,30.525693000000004,0.0,30.525693000000004,70.474307
233.1,233,1,26,196,Q,1,1,0,26,0,30.211202999999998,0.0,30.211202999999998,70.788797
